NetworkInterfaceId,SubnetId,Description,Status,PrivateIpAddress,Groups
eni-0492a8c3855022a0c,subnet-08a765fe7af589486,ELB env-251585-elb-rdp,in-use,10.61.142.4,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-0f34c60ea1b6f564a,subnet-08a765fe7af589486,,in-use,10.61.143.205,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-0dd09f18841516e69,subnet-08a765fe7af589486,ELB env-252580-elb-rdp,in-use,10.61.130.112,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-0903fe52b0c0386cc,subnet-08a765fe7af589486,Primary network interface,in-use,10.61.136.51,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-0e71f7958eb151587,subnet-08a765fe7af589486,ELB env-247760-elb-rdp,in-use,10.61.135.105,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-0e9626c6298877c11,subnet-08a765fe7af589486,,in-use,10.61.142.248,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-039e8a3ccde2c46cb,subnet-08a765fe7af589486,,in-use,10.61.128.129,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-002e6099792aafdca,subnet-08a765fe7af589486,VPC Endpoint Interface vpce-038473e1ee6d5239e,in-use,10.61.129.203,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-0825fbdc59d568d39,subnet-08a765fe7af589486,EFS mount target for fs-cb9091cc (fsmt-504e4255),in-use,10.61.142.16,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-0b971ef2658531999,subnet-08a765fe7af589486,Primary network interface,in-use,10.61.139.49,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-0be224e5218bd13e4,subnet-08a765fe7af589486,,in-use,10.61.128.189,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-0ff1501e03836f307,subnet-08a765fe7af589486,EFS mount target for fs-27d7d620 (fsmt-1eeee31b),in-use,10.61.134.145,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-09ebcb36a3e230407,subnet-08a765fe7af589486,RDSNetworkInterface,in-use,10.61.134.121,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-073e4e4d0a48cedbd,subnet-08a765fe7af589486,ELB env-251585-elb-rdp,in-use,10.61.128.121,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-06bd3c129035780e7,subnet-08a765fe7af589486,,in-use,10.61.133.35,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-0bc07f82cbbaaf5ed,subnet-08a765fe7af589486,,in-use,10.61.141.44,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-051c7ecef841f8a1f,subnet-08a765fe7af589486,RDSNetworkInterface,in-use,10.61.142.99,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-014a58309f9f5f53b,subnet-08a765fe7af589486,,in-use,10.61.143.42,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-0b223eff8406fafa4,subnet-08a765fe7af589486,ELB app/env-252738-appelb/1db4bbc43d790846,in-use,10.61.141.227,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-06ae0eb212ad44fa0,subnet-08a765fe7af589486,RDSNetworkInterface,in-use,10.61.131.34,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
