"NetworkInterfaceId","SubnetId","Description","Status","PrivateIpAddress","Groups"
"eni-0842f163683f4c01e","subnet-078ddef3182bca345","ELB a370c9503ecae4d5383f2fe9cc2dddff","in-use","10.61.113.38","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-0495c2cb99f6bb7ec","subnet-078ddef3182bca345","VPC Endpoint Interface vpce-0e9184c05ffdeacf2","in-use","10.61.114.83","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-0824542feb43cc352","subnet-078ddef3182bca345","aws-K8S-i-0beb1e3eeeb594c8f","in-use","10.61.116.239","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-006dac586ecc4554f","subnet-078ddef3182bca345","aws-K8S-i-061f361356e90a7a8","in-use","10.61.119.29","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-08307fc88355a0f9e","subnet-078ddef3182bca345","aws-K8S-i-0ca6246cd30385da4","in-use","10.61.115.224","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-0fb3572e6780eccd0","subnet-078ddef3182bca345","aws-K8S-i-061f361356e90a7a8","in-use","10.61.112.137","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-06db80ae9816accbc","subnet-078ddef3182bca345","aws-K8S-i-0c79d99cb03a676ee","in-use","10.61.118.21","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-0be52577bdff1fc0b","subnet-078ddef3182bca345","aws-K8S-i-07b1e288bcc2ceae8","in-use","10.61.114.49","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-08fbef52206015d48","subnet-078ddef3182bca345",,"in-use","10.61.112.230","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-01f958aa260146ff1","subnet-078ddef3182bca345",,"in-use","10.61.115.149","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-05d57ff2d199e7da7","subnet-078ddef3182bca345",,"in-use","10.61.116.38","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-0006c447d2beda556","subnet-078ddef3182bca345","VPC Endpoint Interface vpce-0e9a0ba4d2c06bb87","in-use","10.61.115.238","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-000e45d02affd9918","subnet-0d40bec8bbac3d78e","Primary network interface","in-use","10.61.124.182","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-0711b795ac1ee2842","subnet-0d40bec8bbac3d78e","Primary network interface","in-use","10.61.125.124","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-0ff10232a81a46f9e","subnet-078ddef3182bca345","aws-K8S-i-0267db1e4f51395c7","in-use","10.61.112.188","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-01ffcf846abfc055b","subnet-078ddef3182bca345","Network Interface for Transit Gateway Attachment tgw-attach-0d66b1243cadd8c1f","in-use","10.61.118.170","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-00bf346426215b88d","subnet-078ddef3182bca345","aws-K8S-i-0e4a206e7b8bb79d3","in-use","10.61.119.182","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-08791cf267df44233","subnet-078ddef3182bca345","aws-K8S-i-089ff25f0906dbda5","in-use","10.61.118.155","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-0a9a58356323703fc","subnet-078ddef3182bca345","aws-K8S-i-0705ce0bb8a3ef49a","in-use","10.61.118.99","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-0d65c4f2a79d06e4c","subnet-078ddef3182bca345","VPC Endpoint Interface vpce-007e20a5ec2f36227","in-use","10.61.119.13","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-0916c69683d4622a4","subnet-078ddef3182bca345",,"in-use","10.61.118.84","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-0f1df4493cd9d18f2","subnet-078ddef3182bca345","aws-K8S-i-0267db1e4f51395c7","in-use","10.61.117.187","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-074dc44dd4710733a","subnet-078ddef3182bca345","aws-K8S-i-0dfd92e8779262c5d","in-use","10.61.114.75","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-04a8b2e9aabbbb217","subnet-078ddef3182bca345","aws-K8S-i-0705ce0bb8a3ef49a","in-use","10.61.112.121","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-05c72eada7c762e72","subnet-078ddef3182bca345","aws-K8S-i-0ca6246cd30385da4","in-use","10.61.119.248","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-0209efad090ec58a9","subnet-078ddef3182bca345","VPC Endpoint Interface vpce-07c107eb52e730a97","in-use","10.61.116.222","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-07fc3cea9e692c95d","subnet-078ddef3182bca345","aws-K8S-i-07c3f189095324296","in-use","10.61.115.138","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-0fb5b5f3c92b510d1","subnet-078ddef3182bca345",,"in-use","10.61.115.74","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-08f4c66e49402b538","subnet-078ddef3182bca345","aws-K8S-i-043383387af71d5f4","in-use","10.61.112.52","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-091f09dda2aac660d","subnet-078ddef3182bca345","VPC Endpoint Interface vpce-0aba3c1dec2b5b1b6","in-use","10.61.112.87","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-0b3b19aeaffcbcdb5","subnet-078ddef3182bca345",,"in-use","10.61.118.149","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-06c644d16ce1de0db","subnet-078ddef3182bca345",,"in-use","10.61.119.15","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-05da97efb98245608","subnet-078ddef3182bca345","aws-K8S-i-0e4a206e7b8bb79d3","in-use","10.61.117.73","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-08d45a683b4dc3c13","subnet-078ddef3182bca345","VPC Endpoint Interface vpce-065f2a0abd8e7dcd4","in-use","10.61.113.16","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-007f7ea09386ff156","subnet-078ddef3182bca345","aws-K8S-i-0c79d99cb03a676ee","in-use","10.61.114.200","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-0556ee3fcd55e17cd","subnet-078ddef3182bca345",,"in-use","10.61.114.142","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-0cd3215b12de3bf5d","subnet-078ddef3182bca345","ELB abd585bf80170466b86f18b50030dafe","in-use","10.61.118.165","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-018e8ff6ff31bf612","subnet-078ddef3182bca345",,"in-use","10.61.119.138","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
